ALEKSANDRÓW KUJAWSKI;ul. PRZEMYSŁOWA 10 87-700
BOGATYNIA;ul. BIAŁOGÓRSKA 30 59-920
BRZEG;ul. SŁOWACKIEGO 64 49-305
BUDZISŁAW KOŚCIELNY;ul. KLECZEWSKA 8A 62-541
BYLIN;BYLIN 23 63-005
CIERPICE;ul. BYDGOSKA 3 87-165
DĄBROWA BISKUPIA;ul. DŁUGA 126 88-133
GŁOGÓWEK;ul. RATAJA 2A 48-250
GNIEZNO;ul. ROOSVELTA 122 62-200
GNIEZNO;ul. SŁONECZNA 25A 62-200
GOLINA;GOLINA KOLONIA 70 62-590
GOLINA;ul. 1 MAJA 79 62-590
GRONÓW;ul. GRONOW 1 66-220
JANIKOWO;ul. PRZEMYSŁOWA 2A 88-160
JANOWIEC WIELKOPOLSKI;ul. BIELAWSKA 6 88-430
KONIN;ul. SPÓŁDZIELCÓW 1 162-510
KONIN;ul. PRZEMYSŁOWA 20 62-510
KONIN;ul. TOROWA 2 662-510
KOSZALIN;ul. PRZEMYSŁOWA 1A 75-216
KROTOSZYN;ul. 56 PUŁKU PIECHOTY WLKP. 12 63-700
LUBAŃ;ul. JELENIOGÓRSKA 14 59-800
LUBIN;ul. HUTNICZA 8 69-300
LWÓWEK ŚLĄSKI;ul. PRZYJACIÓŁ ŻOŁNIERZA 59-600
NAKŁO NAD NOTECIĄ;ul. POZNAŃSKA 16 89-100
NOWA SÓL;ul. ZIELONOGÓRSKA 9 167-100
NOWOGARD;ul. ARMII KRAJOWEJ 28C 72-200
OBÓRZNIA;ul. OBÓRZNIA 1 189-210
PIEŃSK;ul. DĄBROWSKIEGO 8 59-930
PIOTROWICE;ul. SŁOMCZYCKA 1 62-420
PIŁA;ul. WOJSKA POLSKIEGO 49C 64-920
POZNAŃ;ul. BAŁTYCKA 34 61-017
POZNAŃ;ul. JAWORNICKA 58 60-161
POZNAŃ;ul. WIERUSZOWSKA / ZIĘBICKA 60-166
PRUDNIK;ul. NYSKA 27a 48-200
PSARY;ul. GŁÓWNA 104 42-512
PSARY MAŁE (WRZEŚNIA);ul. BUDOWLANA 15 62-300
RUDA;RUDA 24A 89-300
SKULSK;ul. TARGOWA 2 62-560
SŁUPCA;ul. PIASTÓW 1 62-400
SŁUPCA;ul. WIERZBOCICE 105 62-400
SŁUŻEWO;ul. PRZYBRANOWO 13A 87-710
ŚLESIN;ul. KLECZEWSKA 33 62-561
ŚRODA WIELKOPOLSKA;ul. BRODOWSKA 33 63-000
ŚRODA WIELKOPOLSKA;ul. KÓRNICKA 52 63-000
STRZAŁKOWO;AL. PRYMASA WYSZYŃSKIEGO 3 62-420
STRZELNO;SŁAWSKO DOLNE 88-320
SULIKÓW;ul. SPORTOWA 1 59-975
ŚWIEBODZICE;ul. STRZEGOMSKA 74 58-160
TRZEBIATÓW;ul. KOŁOBRZESKA 83 72-320
TUREK;ul. KONIŃSKA 1 62-700
UNISŁAW;ul. BYDGOSKA 2 86-260
USTOWO;ul. USTOWO 40P 70-001
POZNAŃ (WIERUSZOWSKA);ul. WIERUSZOWSKA / ZIĘBICKA 60-166
ZAKRZEWO;ul. KUJAWSKA 1 187-707
ZAMOŚĆ;ul. POZNAŃSKA 34 89-200
ZŁOTORYJA;ul. LEGNICKA 31A 59-500
ŻARY;ul. UŁAŃSKA 2 68-200
